run_id,atm_id,split,stage2_class,subtype,start_hour_ist,t_start,t_end,t_onset,t_failure,severity,n_transactions,peak_temperature_c,min_voltage_v,fault_channel,params,seed,n_windows
RUN_00073,ATM_031,train,POWER_FAILURE,POWER_UNDERVOLTAGE,20.743,1797155076,1797169475,1797159167.0,,31.6835,12,29.16,186.29,,"{""develop_s"": 725.0762586496154, ""target_v"": 198.31650086199676}",1618825177,233
RUN_00102,ATM_039,train,POWER_FAILURE,POWER_OUTAGE,23.839,1799671819,1799686218,1799679003.0,,1236.0,4,35.1,1.03,,"{""outage_duration_s"": 1236.0}",331446144,230
RUN_00034,ATM_024,train,COOLING_FAILURE,COOLING_DEGRADATION,5.297,1793729868,1793744267,1793733548.0,1793743966.0,0.8426,21,38.17,217.63,,"{""develop_s"": 5186.997632408813, ""health_floor"": 0.15741304590885033}",1223866820,233
RUN_00031,ATM_010,train,COOLING_FAILURE,COOLING_DEGRADATION,12.494,1793496580,1793510979,1793501111.0,1793506139.0,0.9226,42,41.42,215.33,,"{""develop_s"": 4348.298212322369, ""health_floor"": 0.07736499264432714}",1057965813,233
RUN_00143,ATM_010,train,TAMPER,TAMPER,18.998,1803196794,1803211193,1803202180.0,,39.8777,24,29.48,218.17,,"{""n_episodes"": 5}",205354052,233
RUN_00088,ATM_020,train,POWER_FAILURE,POWER_INSTABILITY,1.445,1798381600,1798395999,1798385703.0,,29.0838,1,28.57,139.06,,"{""event_rate_per_hour"": 42.926838666815144, ""n_events"": 129}",1805676541,233
RUN_00045,ATM_022,train,COOLING_FAILURE,FAN_STALL,6.966,1794686278,1794700677,1794692828.0,,0.9735,35,44.97,215.35,,"{""develop_s"": 6.684270188095375, ""health_floor"": 0.026520578505345827}",1491203328,233
RUN_00033,ATM_011,train,COOLING_FAILURE,COOLING_DEGRADATION,3.21,1793635954,1793650353,1793640596.0,1793648443.0,0.8681,6,38.46,217.48,,"{""develop_s"": 3096.345318022686, ""health_floor"": 0.13188501255935392}",1089170142,233
RUN_00104,ATM_027,validation,POWER_FAILURE,POWER_OUTAGE,13.585,1799807706,1799822105,1799814840.0,,2763.0,43,41.75,2.11,,"{""outage_duration_s"": 2763.0}",300924781,47
RUN_00060,ATM_041,train,HIGH_HUMIDITY,HIGH_HUMIDITY,11.378,1795998161,1796012560,1796001825.0,,0.7434,32,29.73,211.04,,"{""develop_s"": 2101.9613127019993, ""ah_multiplier"": 1.7433733221874372}",2073927117,233
RUN_00120,ATM_029,train,TAMPER,TAMPER,16.993,1801202373,1801216772,1801209255.0,,42.1017,49,29.57,215.42,,"{""n_episodes"": 6}",5663370,212
RUN_00063,ATM_037,train,HIGH_HUMIDITY,HIGH_HUMIDITY,21.983,1796295537,1796309936,1796299672.0,,0.5534,2,29.24,217.34,,"{""develop_s"": 3233.41931134501, ""ah_multiplier"": 1.5533862531641263}",496641209,233
RUN_00004,ATM_021,train,NORMAL,NORMAL,8.511,1791149438,1791163837,,,0.0,42,29.54,218.22,,{},970466275,236
RUN_00178,ATM_028,train,SENSOR_FAULT,SENSOR_DRIFT,22.211,1806232359,1806246758,1806236323.0,,31.5143,5,28.71,215.41,temperature,"{""kind"": ""SENSOR_DRIFT"", ""channel"": ""temperature"", ""sigmas"": 31.51430001545648}",1422086628,233
RUN_00057,ATM_031,train,HIGH_HUMIDITY,HIGH_HUMIDITY,19.34,1795767625,1795782024,1795772063.0,,0.8001,29,29.5,215.13,,"{""develop_s"": 3719.4246735571255, ""ah_multiplier"": 1.8001466763847955}",139390162,233
RUN_00012,ATM_029,train,NORMAL,NORMAL,5.597,1791830147,1791844546,,,0.0,26,29.0,218.74,,{},2035420188,236
RUN_00077,ATM_022,train,POWER_FAILURE,POWER_UNDERVOLTAGE,18.704,1797493332,1797507731,1797499089.0,,27.0011,27,29.52,189.87,,"{""develop_s"": 801.8201652742849, ""target_v"": 202.9988528375494}",1640492725,233
RUN_00119,ATM_035,train,TAMPER,TAMPER,10.021,1801090876,1801105275,1801097288.0,,43.0901,50,29.61,216.09,,"{""n_episodes"": 6}",493100524,218
RUN_00017,ATM_029,train,NORMAL,NORMAL,9.303,1792275491,1792289890,,,0.0,54,29.7,217.4,,{},365392733,236
RUN_00166,ATM_042,train,SENSOR_FAULT,SENSOR_STUCK,12.612,1805161004,1805175403,1805168052.0,,1.0,38,29.73,218.92,temperature,"{""kind"": ""SENSOR_STUCK"", ""channel"": ""temperature"", ""null_rate"": 0.04762802149696073}",2131912099,233
RUN_00159,ATM_014,test,TAMPER,TAMPER,0.558,1804512809,1804527208,1804517522.0,,39.776,2,28.66,211.44,,"{""n_episodes"": 7}",1243511074,44
RUN_00018,ATM_026,train,NORMAL,NORMAL,10.048,1792364573,1792378972,,,0.0,47,29.59,216.17,,{},1358457438,236
RUN_00105,ATM_007,test,POWER_FAILURE,POWER_OUTAGE,1.021,1799848877,1799863276,1799853024.0,,3447.0,0,40.97,2.77,,"{""outage_duration_s"": 3447.0}",1679429407,47
RUN_00020,ATM_012,train,NORMAL,NORMAL,9.957,1792537044,1792551443,,,0.0,50,29.69,218.99,,{},443097808,236
RUN_00187,ATM_036,train,SENSOR_FAULT,SENSOR_SPIKE,2.935,1806940566,1806954965,1806946444.0,,1.0749,5,28.85,219.92,current,"{""kind"": ""SENSOR_SPIKE"", ""channel"": ""current"", ""rate"": 0.050449620670222885, ""sigmas"": 21.306629633637968}",784541426,233
RUN_00025,ATM_004,test,NORMAL,NORMAL,19.908,1793004868,1793019267,,,0.0,26,29.27,217.3,,{},1126719087,48
RUN_00046,ATM_011,train,COOLING_FAILURE,FAN_STALL,23.967,1794833882,1794848281,1794840879.0,,0.967,1,42.78,208.47,,"{""develop_s"": 9.15712475561604, ""health_floor"": 0.03302928234996575}",1964548716,233
RUN_00137,ATM_021,train,TAMPER,TAMPER,12.134,1802653681,1802668080,1802658737.0,,42.935,29,29.68,219.03,,"{""n_episodes"": 6}",440217535,212
RUN_00078,ATM_003,validation,POWER_FAILURE,POWER_UNDERVOLTAGE,0.884,1797515583,1797529982,1797519401.0,,36.5131,2,28.52,180.6,,"{""develop_s"": 82.32769860798848, ""target_v"": 193.48690555584676}",1019872362,47
RUN_00087,ATM_004,test,POWER_FAILURE,POWER_OVERVOLTAGE,17.873,1798354341,1798368740,1798359633.0,,31.5561,51,29.55,217.01,,"{""develop_s"": 503.6201026305689, ""target_v"": 261.5561411014318}",254005463,47
RUN_00065,ATM_002,validation,HIGH_HUMIDITY,HIGH_HUMIDITY,6.583,1796412897,1796427296,1796418140.0,,0.4137,45,29.52,215.27,,"{""develop_s"": 2400.0856485833965, ""ah_multiplier"": 1.4137261255442586}",768251720,47
RUN_00075,ATM_019,train,POWER_FAILURE,POWER_UNDERVOLTAGE,9.754,1797288315,1797302714,1797293776.0,,30.7368,41,29.75,184.05,,"{""develop_s"": 464.6614211779986, ""target_v"": 199.2631525946}",1251016144,233
RUN_00076,ATM_024,train,POWER_FAILURE,POWER_UNDERVOLTAGE,10.135,1797376085,1797390484,1797380905.0,,28.5612,51,29.57,190.76,,"{""develop_s"": 211.62698121255738, ""target_v"": 201.4387787193657}",952062427,233
RUN_00188,ATM_032,validation,SENSOR_FAULT,SENSOR_SPIKE,16.922,1807077319,1807091718,1807083839.0,,2.5503,63,29.77,217.68,current,"{""kind"": ""SENSOR_SPIKE"", ""channel"": ""current"", ""rate"": 0.05128068721722041, ""sigmas"": 49.73165118935914}",1462464282,47
RUN_00085,ATM_013,train,POWER_FAILURE,POWER_OVERVOLTAGE,17.87,1798181532,1798195931,1798185461.0,,40.3002,48,29.67,224.89,,"{""develop_s"": 337.73139881163553, ""target_v"": 270.30019219704934}",2011863142,233
RUN_00150,ATM_044,validation,TAMPER,TAMPER,0.313,1803734327,1803748726,1803739500.0,,41.2959,1,28.56,219.23,,"{""n_episodes"": 7}",1204870984,46
RUN_00097,ATM_010,train,POWER_FAILURE,POWER_OUTAGE,5.496,1799173784,1799188183,1799178734.0,,3871.0,24,42.9,2.4,,"{""outage_duration_s"": 3871.0}",1048611556,230
RUN_00050,ATM_011,train,HIGH_HUMIDITY,HIGH_HUMIDITY,16.04,1795150943,1795165342,1795155077.0,,0.5939,57,29.65,218.87,,"{""develop_s"": 1918.3623499494859, ""ah_multiplier"": 1.5938997782561348}",66209535,233
RUN_00132,ATM_040,train,TAMPER,TAMPER,5.488,1802197757,1802212156,1802203093.0,,41.4623,28,29.65,216.0,,"{""n_episodes"": 6}",1238007977,212
RUN_00024,ATM_032,validation,NORMAL,NORMAL,14.28,1792898206,1792912605,,,0.0,45,29.71,216.54,,{},1010542536,48
RUN_00196,ATM_014,test,SENSOR_FAULT,SENSOR_NOISE,9.057,1807740205,1807754604,1807747339.0,,24.8914,63,29.6,218.32,temperature,"{""kind"": ""SENSOR_NOISE"", ""channel"": ""temperature"", ""inflation"": 24.891360609647805}",1084264493,47
RUN_00154,ATM_001,test,TAMPER,TAMPER,22.247,1804158888,1804173287,1804162950.0,,41.9332,11,28.8,218.73,,"{""n_episodes"": 6}",1860128689,44
RUN_00015,ATM_035,train,NORMAL,NORMAL,13.653,1792118349,1792132748,,,0.0,38,29.85,215.52,,{},1540697994,236
RUN_00036,ATM_037,train,COOLING_FAILURE,COOLING_DEGRADATION,5.225,1793902411,1793916810,1793909423.0,,0.8081,25,36.93,216.74,,"{""develop_s"": 2056.713915510708, ""health_floor"": 0.19189501944913545}",1315266424,233
RUN_00000,ATM_011,train,NORMAL,NORMAL,5.414,1790792690,1790807089,,,0.0,30,29.21,213.58,,{},1722894495,236
RUN_00093,ATM_043,train,POWER_FAILURE,POWER_INSTABILITY,14.104,1798859174,1798873573,1798862882.0,,28.9373,56,29.98,115.71,,"{""event_rate_per_hour"": 49.59904403452331, ""n_events"": 139}",2060499446,233
RUN_00037,ATM_038,train,COOLING_FAILURE,COOLING_DEGRADATION,23.876,1794055952,1794070351,1794060727.0,1794066945.0,0.9365,2,40.73,218.74,,"{""develop_s"": 5236.536045730845, ""health_floor"": 0.06353113052286939}",1270067126,233
RUN_00181,ATM_032,validation,SENSOR_FAULT,SENSOR_DRIFT,18.726,1806479014,1806493413,1806483112.0,,42.8455,35,29.57,217.03,humidity,"{""kind"": ""SENSOR_DRIFT"", ""channel"": ""humidity"", ""sigmas"": -42.84552966523384}",2103471375,47
RUN_00168,ATM_018,test,SENSOR_FAULT,SENSOR_STUCK,14.49,1805340565,1805354964,1805346269.0,,1.0,41,29.82,215.68,temperature,"{""kind"": ""SENSOR_STUCK"", ""channel"": ""temperature"", ""null_rate"": 0.04637967566656883}",391783370,48
RUN_00066,ATM_034,validation,HIGH_HUMIDITY,HIGH_HUMIDITY,23.516,1796560256,1796574655,1796565289.0,,0.4608,0,28.56,218.96,,"{""develop_s"": 1833.578875037268, ""ah_multiplier"": 1.460800363478529}",1138549342,47
RUN_00153,ATM_014,test,TAMPER,TAMPER,8.076,1804021474,1804035873,1804026622.0,,43.3396,57,29.48,219.04,,"{""n_episodes"": 6}",448451977,44
RUN_00072,ATM_016,train,POWER_FAILURE,POWER_UNDERVOLTAGE,18.529,1797060706,1797075105,1797067502.0,,41.5575,37,29.61,172.1,,"{""develop_s"": 194.2732665511692, ""target_v"": 188.44248664169805}",1841873847,233
RUN_00179,ATM_019,train,SENSOR_FAULT,SENSOR_DRIFT,2.284,1806247022,1806261421,1806251589.0,,100.4563,4,28.86,218.04,temperature,"{""kind"": ""SENSOR_DRIFT"", ""channel"": ""temperature"", ""sigmas"": -100.45627945400481}",1274626226,233
RUN_00129,ATM_038,train,TAMPER,TAMPER,5.423,1801938321,1801952720,1801942890.0,,43.1862,19,29.08,217.63,,"{""n_episodes"": 7}",986765829,233
RUN_00195,ATM_034,validation,SENSOR_FAULT,SENSOR_NOISE,13.982,1807671536,1807685935,1807678249.0,,54.5975,47,29.96,215.78,voltage,"{""kind"": ""SENSOR_NOISE"", ""channel"": ""voltage"", ""inflation"": 54.59752484046039}",2007642807,47
RUN_00069,ATM_004,test,HIGH_HUMIDITY,HIGH_HUMIDITY,15.14,1796789303,1796803702,1796794941.0,,0.8514,46,29.68,216.59,,"{""develop_s"": 2116.251271666983, ""ah_multiplier"": 1.8513532263211598}",1055547501,47
RUN_00030,ATM_021,train,COOLING_FAILURE,COOLING_DEGRADATION,9.427,1793399138,1793413537,1793405806.0,,0.6838,41,34.34,216.54,,"{""develop_s"": 5091.375082245555, ""health_floor"": 0.3162007466672616}",526399106,233
RUN_00048,ATM_034,validation,COOLING_FAILURE,FAN_STALL,18.317,1794986340,1795000739,1794992688.0,,0.9911,27,45.41,212.51,,"{""develop_s"": 3.4387699255763113, ""health_floor"": 0.008934052363873951}",1400705794,48
RUN_00021,ATM_002,validation,NORMAL,NORMAL,14.799,1792640877,1792655276,,,0.0,51,29.94,214.19,,{},1829166126,48
RUN_00141,ATM_036,train,TAMPER,TAMPER,16.171,1803013814,1803028213,1803018437.0,,38.6783,44,29.53,223.83,,"{""n_episodes"": 5}",518167984,224
RUN_00110,ATM_005,train,TAMPER,TAMPER,13.88,1800327167,1800341566,1800330955.0,,42.3321,37,29.7,218.29,,"{""n_episodes"": 7}",1857384077,207
RUN_00122,ATM_035,train,TAMPER,TAMPER,22.711,1801395761,1801410160,1801402528.0,,40.516,5,28.55,212.88,,"{""n_episodes"": 6}",1073532150,213
RUN_00142,ATM_010,train,TAMPER,TAMPER,15.257,1803096925,1803111324,1803103872.0,,41.3058,49,29.75,217.34,,"{""n_episodes"": 5}",777010877,221
RUN_00067,ATM_034,validation,HIGH_HUMIDITY,HIGH_HUMIDITY,11.349,1796602856,1796617255,1796609864.0,,0.8298,31,29.7,215.35,,"{""develop_s"": 1375.197447671708, ""ah_multiplier"": 1.8298062671356048}",351880803,47
RUN_00007,ATM_042,train,NORMAL,NORMAL,19.249,1791447296,1791461695,,,0.0,34,29.35,214.73,,{},152508936,236
RUN_00182,ATM_018,test,SENSOR_FAULT,SENSOR_DRIFT,15.061,1806552218,1806566617,1806557471.0,,111.6989,54,29.73,217.48,voltage,"{""kind"": ""SENSOR_DRIFT"", ""channel"": ""voltage"", ""sigmas"": 111.69890162558974}",145217188,47
RUN_00131,ATM_012,train,TAMPER,TAMPER,10.054,1802127792,1802142191,1802134620.0,,43.1048,49,29.62,216.99,,"{""n_episodes"": 5}",686431243,218
RUN_00175,ATM_018,test,SENSOR_FAULT,SENSOR_BIAS,4.354,1805908874,1805923273,1805914448.0,,20.143,10,28.79,218.31,humidity,"{""kind"": ""SENSOR_BIAS"", ""channel"": ""humidity"", ""sigmas"": -20.143017830914825}",1812222438,47
RUN_00103,ATM_027,validation,POWER_FAILURE,POWER_OUTAGE,15.592,1799728530,1799742929,1799735553.0,,3081.0,52,42.73,0.46,,"{""outage_duration_s"": 3081.0}",493429696,46
RUN_00084,ATM_016,train,POWER_FAILURE,POWER_OVERVOLTAGE,21.396,1798107824,1798122223,1798114916.0,,24.5297,11,29.13,219.92,,"{""develop_s"": 363.9624212947619, ""target_v"": 254.52972692224066}",816758595,233
RUN_00096,ATM_029,train,POWER_FAILURE,POWER_OUTAGE,19.045,1799136161,1799150560,1799142637.0,,3133.0,31,41.65,2.56,,"{""outage_duration_s"": 3133.0}",1855098547,230
RUN_00009,ATM_042,train,NORMAL,NORMAL,11.625,1791592649,1791607048,,,0.0,41,29.64,216.5,,{},618043938,236
RUN_00062,ATM_005,train,HIGH_HUMIDITY,HIGH_HUMIDITY,9.634,1796164683,1796179082,1796169154.0,,0.5031,47,29.63,217.77,,"{""develop_s"": 1405.4536880452092, ""ah_multiplier"": 1.5031458631917693}",1498094327,233
RUN_00054,ATM_020,train,HIGH_HUMIDITY,HIGH_HUMIDITY,8.459,1795469254,1795483653,1795473378.0,,0.7691,44,29.43,217.66,,"{""develop_s"": 3113.985922075484, ""ah_multiplier"": 1.7691473407180123}",1330531159,233
RUN_00184,ATM_019,train,SENSOR_FAULT,SENSOR_SPIKE,8.428,1806701141,1806715540,1806704981.0,,0.4516,61,29.8,220.54,pressure,"{""kind"": ""SENSOR_SPIKE"", ""channel"": ""pressure"", ""rate"": 0.014541815049534876, ""sigmas"": 31.057117970660556}",353698888,234
RUN_00144,ATM_042,train,TAMPER,TAMPER,1.53,1803220307,1803234706,1803225678.0,,38.3719,4,28.56,218.28,,"{""n_episodes"": 7}",1407095835,204
RUN_00074,ATM_036,train,POWER_FAILURE,POWER_UNDERVOLTAGE,20.186,1797239468,1797253867,1797246527.0,,26.8922,10,29.2,192.6,,"{""develop_s"": 866.469466959716, ""target_v"": 203.10781629930204}",1602577971,233
RUN_00163,ATM_015,train,SENSOR_FAULT,SENSOR_STUCK,15.154,1804910956,1804925355,1804916526.0,,1.0,50,29.91,219.86,pressure,"{""kind"": ""SENSOR_STUCK"", ""channel"": ""pressure"", ""null_rate"": 0.06662946731820436}",1350693279,233
RUN_00156,ATM_018,test,TAMPER,TAMPER,2.019,1804258869,1804273268,1804265906.0,,47.8766,3,28.46,219.21,,"{""n_episodes"": 4}",1614423092,45
RUN_00125,ATM_011,train,TAMPER,TAMPER,13.551,1801621984,1801636383,1801628661.0,,42.0289,54,29.73,218.51,,"{""n_episodes"": 4}",1905104605,218
RUN_00140,ATM_005,train,TAMPER,TAMPER,4.724,1802886206,1802900605,1802892645.0,,44.4424,19,29.23,216.09,,"{""n_episodes"": 5}",945711576,230
RUN_00160,ATM_014,test,TAMPER,TAMPER,4.084,1804611902,1804626301,1804618851.0,,39.6086,10,28.66,212.94,,"{""n_episodes"": 5}",524565611,46
RUN_00127,ATM_029,train,TAMPER,TAMPER,2.339,1801754421,1801768820,1801758880.0,,44.478,3,28.87,218.99,,"{""n_episodes"": 7}",253644677,208
RUN_00177,ATM_030,train,SENSOR_FAULT,SENSOR_DRIFT,23.997,1806152389,1806166788,1806157316.0,,83.6467,3,28.66,217.59,current,"{""kind"": ""SENSOR_DRIFT"", ""channel"": ""current"", ""sigmas"": -83.64674358484908}",1550166093,233
RUN_00124,ATM_030,train,TAMPER,TAMPER,20.208,1801559547,1801573946,1801566737.0,,42.2005,20,29.27,220.88,,"{""n_episodes"": 4}",410627316,233
