temperature_null_frac,temperature_mean,temperature_std,temperature_min,temperature_max,temperature_slope,temperature_delta,humidity_null_frac,humidity_mean,humidity_std,humidity_min,humidity_max,humidity_slope,humidity_delta,pressure_null_frac,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_slope,pressure_delta,light_null_frac,light_mean,light_std,light_min,light_max,light_slope,light_delta,voltage_null_frac,voltage_mean,voltage_std,voltage_min,voltage_max,voltage_slope,voltage_delta,current_null_frac,current_mean,current_std,current_min,current_max,current_slope,current_delta,voltage_sag_frac,voltage_swell_frac,voltage_dropout_frac,vibration_sum,vibration_max,vibration_active_frac,vibration_burst_max_s,motion_frac,motion_transitions,motion_longest_run_s,abs_humidity_mean,abs_humidity_std,abs_humidity_slope,dewpoint_mean,temp_rh_corr,run_id,atm_id,window_start_ts,window_end_ts,label,stage1,fine_state,purity,ambiguous,severity,run_subtype,time_to_failure_s
0,29.497,0.0603517,29.34,29.61,-0.0380039,-0.16,0,54.2609,0.376157,53.67,55.09,0.255816,1.32,0,1007.87,0.0711266,1007.69,1008.04,0.0424665,0.25,0,190.164,1.4186,186.4,194.2,0.00290937,1.3,0,231.003,0.912427,229.1,233.6,0.292409,0.8,0,1.41793,0.00593809,1.4008,1.432,-5.65873e-05,0,0,0,0,1,1,0.00333333,1,0,0,0,14.0937,0.0559074,0.0356979,19.2926,-0.925064,RUN_00096,ATM_029,1799139401,1799139700,NORMAL,HEALTHY,NORMAL,1,False,3133,POWER_OUTAGE,
0,28.9752,0.082573,28.82,29.15,0.0361412,0.09,0,56.4918,0.309931,55.83,56.95,-0.15609,-0.47,0,1008.4,0.0329446,1008.32,1008.49,0.00740448,-0.03,0,319.135,10.6706,304.3,338,0.831913,25.7,0,230.612,0.766658,228.7,232.7,-0.276116,-2,0,1.41813,0.00619344,1.3984,1.4328,2.97603e-05,-0.0064,0,0,0,29,5,0.0533333,6,0.62,3,136,14.2329,0.0258113,-0.00998125,19.4557,-0.950166,RUN_00081,ATM_013,1797805419,1797805718,NORMAL,HEALTHY,NORMAL,0.8333,False,29.6081,POWER_OVERVOLTAGE,
0,28.9204,0.614788,27.9,29.97,0.425412,2.01,0,47.0493,1.9069,43.87,50.44,-1.31789,-6.46,0,1007.72,0.0653049,1007.59,1007.85,0.0338102,0.06,0,50.6257,93.1706,19,368.2,-31.2758,-344.7,0,20.293,63.4165,0,227.3,-21.4072,-226.1,0,0.307176,0.342609,0.1952,1.4296,-0.115522,-1.2152,0.913333,0,0.913333,19,10,0.0166667,3,0.163333,2,49,11.7683,0.0622667,-0.0405217,16.4825,-0.998409,RUN_00100,ATM_015,1799449351,1799449650,POWER_FAILURE,ABNORMAL,POWER_OUTAGE,0.9133,False,2262,POWER_OUTAGE,
0,29.1085,0.0824317,28.96,29.3,-0.0503544,-0.18,0,55.8977,0.308198,55.31,56.58,0.204459,0.91,0,1008.44,0.0703106,1007.63,1008.82,-0.00486085,-0.01,0,399.643,10.7869,384.4,414,-4.03752,-17.4,0,229.302,0.607202,227.6,231.3,-0.126072,-1,0,1.41322,0.00576125,1.3904,1.4328,0.000465787,0.0112,0,0,0,29,4,0.0366667,5,0.463333,3,92,14.1909,0.0314514,0.0109057,19.4097,-0.921341,RUN_00184,ATM_019,1806709301,1806709600,SENSOR_FAULT,ABNORMAL,SENSOR_SPIKE,1,False,0.4516,SENSOR_SPIKE,
0,28.9942,0.0916823,28.78,29.14,0.06096,0.32,0,48.3684,0.230024,48.05,48.93,-0.150462,-0.68,0,1007.87,0.0445871,1007.75,1007.97,-0.0119411,-0.01,0,188.889,1.47883,185.4,192.8,-0.0717155,-2.1,0,229.043,0.750415,227.1,231.2,0.185805,0.6,0,1.42081,0.00618453,1.3968,1.4376,-7.58302e-05,0.0048,0,0,0,3,1,0.01,1,0,0,0,12.1665,0.0210397,0.00537666,16.9993,-0.949124,RUN_00144,ATM_042,1803222107,1803222406,NORMAL,HEALTHY,NORMAL,1,False,38.3719,TAMPER,
0,29.3865,0.120529,29.17,29.56,0.0765534,0.29,0,56.3837,0.424514,55.74,57.05,-0.277408,-1.1,0,1007.52,0.103966,1007.32,1007.8,-0.0657697,-0.39,0,426.808,11.2176,409,441.3,1.06269,-1.1,0,230.853,0.959353,228.6,233,-0.517279,-4.2,0,1.41699,0.00576808,1.4016,1.4344,0.00020348,0.0048,0,0,0,15,5,0.0266667,3,0.423333,2,127,14.5676,0.0250647,-0.00645379,19.8076,-0.975306,RUN_00114,ATM_029,1800665739,1800666038,NORMAL,HEALTHY,NORMAL,1,False,44.7359,TAMPER,
0,28.6888,0.0736833,28.56,28.88,0.0483027,0.29,0,60.2316,0.326982,59.56,60.78,-0.221869,-1.07,0,1007.57,0.056586,1007.44,1007.7,0.0272786,0.17,0,334.728,1.97378,328.2,339,-0.929029,-5.7,0,229.6,1.27829,223.6,232.9,-0.449305,-0.5,0,1.41678,0.00613323,1.4016,1.4376,4.74139e-05,-0.0024,0,0,0,10110,79,0.696667,135,0.703333,2,137,14.9546,0.0307474,-0.0139511,20.2221,-0.944187,RUN_00136,ATM_005,1802577795,1802578094,TAMPER,ABNORMAL,TAMPER,1,False,40.8423,TAMPER,
0,29.0671,0.140568,28.88,29.29,0.08675,0.26,0,94.4992,0.313825,93.8,95.06,-0.0773394,0.26,0,1009.54,0.0642152,1009.35,1009.67,-0.0205194,-0.08,0,402.952,10.9138,386.7,416.6,-1.67232,4.6,0,234.282,1.56456,225.6,237.7,-0.428939,-3.4,0,1.41571,0.0059151,1.3984,1.4336,-0.000113548,0.0096,0,0,0,19,3,0.0366667,8,0.43,2,129,24.2873,0.158085,0.106547,28.0925,-0.710742,RUN_00054,ATM_020,1795477954,1795478253,HIGH_HUMIDITY,ABNORMAL,HIGH_HUMIDITY,1,False,0.7691,HIGH_HUMIDITY,
0,28.4284,0.0626764,28.32,28.61,0.0377848,0.23,0,53.5895,0.264594,52.95,53.97,-0.171589,-0.9,0,1005.4,0.0704407,1005.2,1005.55,0.0289883,0.21,0,184.433,1.42158,180.7,188,0.0120161,-0.7,0,230.272,1.09561,227,232.6,0.603549,2.4,0,1.4164,0.0127314,1.3456,1.4856,-0.000133025,0.008,0,0,0,4,1,0.0133333,1,0,0,0,13.0958,0.0285034,-0.0138916,18.1041,-0.92384,RUN_00187,ATM_036,1806947286,1806947585,SENSOR_FAULT,ABNORMAL,SENSOR_SPIKE,1,False,1.0749,SENSOR_SPIKE,
0,29.4675,0.169049,29.18,29.74,0.114357,0.51,0,55.0033,0.520756,54.2,55.81,-0.353401,-1.52,0,1008.02,0.0563515,1007.85,1008.16,0.0311577,0.31,0,170.543,10.6718,158.6,189,2.8266,2,0,230.676,0.906297,228.3,232.6,-0.31941,0.1,0,1.41633,0.00606535,1.4,1.4336,0.000386938,0.0032,0,0,0,7240,107,0.553333,114,0.823333,4,193,14.2633,0.0231601,0.00207091,19.4832,-0.986766,RUN_00141,ATM_036,1803025034,1803025333,TAMPER,ABNORMAL,TAMPER,1,False,38.6783,TAMPER,
0,27.7408,0.0840716,27.59,27.9,0.0561988,0.26,0,55.2773,0.28569,54.79,55.78,-0.194023,-0.85,0,1008.12,0.0368861,1008.01,1008.23,0.0121265,0.03,0,186.927,1.39768,182,192.8,0.0715421,-0.2,0,229.185,0.811218,226.9,231.2,0.212841,0.3,0,1.41402,0.00584909,1.3976,1.4312,9.13717e-05,0.0032,0,0,0,1,1,0.00333333,1,0,0,0,12.9394,0.0198272,-0.00315493,17.96,-0.956982,RUN_00014,ATM_009,1791998475,1791998774,NORMAL,HEALTHY,NORMAL,1,False,0,NORMAL,
0,29.5674,0.0892939,29.34,29.74,-0.0454857,-0.21,0,52.9593,0.345438,52.46,53.74,0.200714,0.86,0,1006.62,0.0930341,1006.42,1006.79,0.0603432,0.21,0,175.157,10.3148,162.5,190.5,5.16149,-0.3,0,234.811,0.891466,231.8,237,0.373989,1.2,0,1.41655,0.00588998,1.3976,1.4328,6.72434e-05,0.0024,0,0,0,14457,116,0.943333,280,0.976667,1,293,13.8227,0.0310478,0.0155208,18.9681,-0.95154,RUN_00141,ATM_036,1803021074,1803021373,TAMPER,ABNORMAL,TAMPER,1,False,38.6783,TAMPER,
0,28.8349,0.120307,28.6,29.06,0.0807474,0.3,0,54.0268,0.280634,53.42,54.51,-0.1868,-0.79,0,1007.14,0.0399222,1007.01,1007.24,0.0149511,0.06,0,181.81,8.28084,160.8,191.1,-2.12541,3.8,0,229.158,0.682815,227,230.9,0.219773,0.4,0,1.41675,0.0125939,1.3528,1.4808,0.000871007,-0.0104,0,0,0,13,3,0.0233333,2,0.186667,2,56,13.5031,0.0318624,0.0166416,18.6101,-0.968762,RUN_00187,ATM_036,1806952026,1806952325,SENSOR_FAULT,ABNORMAL,SENSOR_SPIKE,1,False,1.0749,SENSOR_SPIKE,
0,28.8318,0.182565,28.64,29.27,0.112592,0.51,0,57.1484,0.496784,55.89,57.61,-0.283663,-1.35,0,1007.87,0.130535,1007.15,1008.45,-0.0636642,-0.45,0,349.093,10.2018,333.7,361.8,-5.75353,-17.3,0,226.928,0.595608,225.4,228.4,0.055678,0.3,0,1.41303,0.00625757,1.3952,1.4264,-0.000186829,-0.0024,0,0,0,20,4,0.0366667,3,0.433333,1,130,14.2876,0.0397599,0.0233787,19.5075,-0.980726,RUN_00184,ATM_019,1806705221,1806705520,SENSOR_FAULT,ABNORMAL,SENSOR_SPIKE,1,False,0.4516,SENSOR_SPIKE,
0,41.3635,0.0967205,41.18,41.55,0.0653919,0.29,0,26.6668,0.0816148,26.47,26.92,-0.0447729,-0.11,0,1007.92,0.0532409,1007.81,1008.04,-0.0156043,-0.04,0,188.399,1.56199,184.8,192.8,0.384783,2.2,0,228.827,0.691162,226.8,230.8,0.0461112,-2,0,0.918309,0.00411363,0.9072,0.9304,9.01343e-05,0.0128,0,0,0,1,1,0.00333333,1,0,0,0,13.3285,0.0462771,0.0244872,18.4188,-0.770283,RUN_00043,ATM_023,1794511332,1794511631,COOLING_FAILURE,ABNORMAL,FAN_STALL,1,False,0.9563,FAN_STALL,
0,29.188,0.100713,28.99,29.39,0.0647998,0.38,0,57.3311,0.210653,56.84,57.74,-0.116361,-0.8,0,1009.96,0.0816927,1009.79,1010.13,0.0484877,0.14,0,254.91,9.49014,243.4,273.1,-0.916013,1.9,0,221.559,12.4723,180,228.7,1.40248,-31.1,0,1.41199,0.00584858,1.3984,1.4288,-0.000186669,0,0.0966667,0,0,17,6,0.0266667,3,0.73,4,126,14.6095,0.0417105,0.0248955,19.8918,-0.917258,RUN_00089,ATM_035,1798492950,1798493249,POWER_FAILURE,ABNORMAL,POWER_INSTABILITY,1,False,27.9728,POWER_INSTABILITY,
0,28.4413,0.0974212,28.25,28.6,0.0622444,0.22,0,54.4328,0.210001,54.09,55.09,0.105096,0.81,0,1006.2,0.0536617,1006.08,1006.33,-0.0113223,-0.04,0,417.079,10.7531,400,428.8,-1.00692,-1.1,0,231.899,0.741462,230.3,234.3,0.193073,-0.6,0,1.41478,0.00599321,1.3984,1.4296,-0.000120823,-0.0048,0,0,0,5,2,0.01,3,0.38,2,114,13.3063,0.111602,0.0755658,18.3651,0.463404,RUN_00059,ATM_006,1795912290,1795912589,HIGH_HUMIDITY,ABNORMAL,HIGH_HUMIDITY,1,False,0.4595,HIGH_HUMIDITY,
0,29.2401,0.0843286,29.11,29.47,-0.0540347,-0.31,0,56.4287,0.295776,55.82,56.89,0.198111,0.94,0,1010.18,0.0287325,1010.1,1010.25,0.00137122,0,0,187.664,1.47403,183.9,191.9,-0.0470912,1.8,0,205.48,1.22165,199.6,207.8,0.296573,1.8,0,1.41141,0.00627549,1.3912,1.4296,-0.000257123,0.0096,0.956667,0,0,2,1,0.00666667,1,0,0,0,14.4153,0.025973,0.00576301,19.6844,-0.941816,RUN_00077,ATM_022,1797505152,1797505451,POWER_FAILURE,ABNORMAL,POWER_UNDERVOLTAGE,1,False,27.0011,POWER_UNDERVOLTAGE,
0,28.8902,0.141651,28.62,29.09,0.089667,0.37,0,49.691,0.60958,48.86,50.75,-0.405246,-1.78,0,1007.74,0.087251,1007.57,1007.91,0.0566812,0.26,0,365.711,10.5105,353.2,383.2,1.53129,-2.6,0,252.501,0.700998,250.3,254.6,-0.182367,-1.3,0,1.4169,0.0058194,1.3992,1.4328,3.0283e-05,0.004,0,0.213333,0,36,7,0.05,4,0.603333,4,128,12.4303,0.0587865,-0.0381598,17.3296,-0.978371,RUN_00080,ATM_005,1797736058,1797736357,POWER_FAILURE,ABNORMAL,POWER_OVERVOLTAGE,1,False,23.0814,POWER_OVERVOLTAGE,
0,29.9093,0.0526166,29.82,30.06,0.0281194,0.15,0,52.9303,0.148636,52.53,53.15,0.0810137,0.49,0,1006.56,0.0602264,1006.39,1006.72,0.0304201,0.09,0,212.718,6.12372,191.7,219.9,1.47172,22,0,269.092,0.618418,266.2,271,0.090709,0.5,0,1.41134,0.0061474,1.3936,1.4272,0.000114956,0.0136,0,1,0,0,0,0,0,0.0966667,1,29,14.0971,0.0687911,0.0449647,19.2754,0.359283,RUN_00082,ATM_022,1797920776,1797921075,POWER_FAILURE,ABNORMAL,POWER_OVERVOLTAGE,1,False,39.904,POWER_OVERVOLTAGE,
0,28.5404,0.0561563,28.39,28.65,-0.0350819,-0.19,0,53.2964,0.128272,53.05,53.62,0.0748592,0.39,0,1010.03,0.0668017,1009.86,1010.19,0.0185742,0.16,0,176.405,1.25562,173.3,180.2,0.0670381,1.6,0,231.681,1.19908,229.4,235,0.617391,1.9,0,1.41942,0.025494,1.356,1.4936,-0.000126796,-0.0152,0,0,0,1,1,0.00333333,1,0,0,0,13.0483,0.0238228,-0.00869288,18.1205,-0.84656,RUN_00194,ATM_038,1807614740,1807615039,SENSOR_FAULT,ABNORMAL,SENSOR_NOISE,1,False,12.5232,SENSOR_NOISE,
0,29.1186,0.053666,29.02,29.28,-0.028471,-0.12,0,79.198,2.29875,74.88,82.7,1.5868,7.81,0,1007.39,0.0923199,1007.19,1007.59,-0.0551637,-0.22,0,428.836,6.26495,406.1,435.3,1.70744,20,0,226.66,0.969333,224.8,229.8,0.436486,1.5,0,1.41529,0.00620994,1.3992,1.432,-5.66193e-05,-0.0056,0,0,0,2,1,0.00666667,1,0.09,1,27,20.3327,0.560882,0.38791,25.1384,-0.805765,RUN_00060,ATM_041,1796003321,1796003620,HIGH_HUMIDITY,ABNORMAL,HIGH_HUMIDITY,1,False,0.7434,HIGH_HUMIDITY,
0,28.6252,0.0773323,28.5,28.8,-0.049462,-0.24,0,55.7162,0.416981,54.84,56.4,0.285301,1.34,0,1007.07,0.0450799,1006.96,1007.21,0.0151408,0.04,0,189.156,1.5403,184.7,192.6,0.391291,7.6,0,227.799,0.804508,225.2,229.7,-0.216577,-1.2,0,1.41601,0.010982,1.3584,1.4744,0.000700413,0.0072,0,0,0,3,1,0.01,1,0,0,0,13.7635,0.0504666,0.0315114,18.908,-0.940501,RUN_00187,ATM_036,1806952686,1806952985,SENSOR_FAULT,ABNORMAL,SENSOR_SPIKE,1,False,1.0749,SENSOR_SPIKE,
0,28.6274,0.120261,28.36,28.83,-0.0818525,-0.41,0,50.1513,0.464337,49.4,51.11,0.316812,1.51,0,1007.42,0.0568699,1007.28,1007.54,0.0186591,0.07,0,182.152,1.40872,178.1,185.5,0.0372484,1.3,0,227.55,0.753282,225.6,229.5,0.206676,0.2,0,1.36152,0.00648382,1.3352,1.3784,-0.00131821,0.008,0,0,0,2,1,0.00666667,1,0,0,0,12.3585,0.0345685,0.0194314,17.2349,-0.98027,RUN_00177,ATM_030,1806159949,1806160248,SENSOR_FAULT,ABNORMAL,SENSOR_DRIFT,1,False,83.6467,SENSOR_DRIFT,
0,28.1663,0.14947,27.9,28.41,0.100978,0.41,0,56.7177,0.410869,56.09,57.4,-0.276165,-1.22,0,1008.45,0.0335472,1008.37,1008.55,0.00979998,0.11,0,215.019,9.93486,193.7,225.3,2.30294,3.8,0,229.043,0.6154,227.4,230.9,0.0552259,0.2,0,1.42487,0.00663061,1.4072,1.4424,0.0013586,0.0016,0,0,0,9,2,0.0233333,5,0.253333,2,76,13.6202,0.0284501,0.0139871,18.766,-0.98355,RUN_00035,ATM_009,1793822879,1793823178,COOLING_FAILURE,ABNORMAL,COOLING_DEGRADATION,1,False,0.8735,COOLING_DEGRADATION,-5321
0,29.8023,0.0650632,29.65,29.93,-0.03959,-0.26,0,50.7436,0.269613,50.21,51.24,0.172582,0.99,0,1006.98,0.049946,1006.88,1007.13,0.0226631,0.09,0,219.475,10.1545,199.8,229.9,-3.58163,-4.8,0,229.841,1.35689,221.5,231.7,0.0581046,-0.2,0,1.41133,0.00616265,1.396,1.4264,-8.22836e-05,0.0024,0,0,0,6,2,0.0133333,3,0.296667,2,89,13.4114,0.033947,0.0151053,18.501,-0.906957,RUN_00015,ATM_035,1792130049,1792130348,NORMAL,HEALTHY,NORMAL,1,False,0,NORMAL,
0,28.4813,0.131688,28.24,28.73,-0.0897642,-0.38,0,61.5792,0.283627,61.03,62.1,0.190401,0.57,0,1008.42,0.0375866,1008.32,1008.52,-0.0152083,-0.03,0,381.416,7.92752,361.3,390.1,-3.21324,-22.3,0,227.761,1.02586,225.2,230.5,-0.345852,-1.5,0,1.41398,0.00576384,1.3992,1.4304,-6.23474e-05,-0.0016,0,0,0,8207,87,0.696667,118,0.8,4,120,15.0968,0.052406,-0.0325975,20.3853,-0.966652,RUN_00116,ATM_009,1800832522,1800832821,TAMPER,ABNORMAL,TAMPER,1,False,41.1954,TAMPER,
0,29.5468,0.0647807,29.42,29.69,0.0416158,0.18,0,51.2472,1.0236,48.49,53.56,-0.236021,-1.13,0,1007.37,0.0391988,1007.28,1007.48,0.00234523,-0.03,0,300.524,6.87186,282.1,307.5,2.38454,14.3,0,233.19,1.03299,224.8,235.6,0.206993,1.2,0,1.41256,0.00607343,1.3928,1.4288,-0.000259875,-0.004,0,0,0,4,1,0.0133333,1,0.163333,1,49,13.34,0.260631,-0.0301361,18.421,-0.315415,RUN_00191,ATM_037,1807330464,1807330763,SENSOR_FAULT,ABNORMAL,SENSOR_NOISE,1,False,19.9365,SENSOR_NOISE,
0,36.2748,0.327686,35.61,36.86,0.225221,1.21,0,37.984,0.763081,36.72,39.54,-0.52425,-2.77,0,1010.77,0.0876785,1010.59,1010.97,0.0523966,0.15,0,10.104,0.998324,7.1,12.1,0.362012,1.2,0,1.89667,0.408806,0.9,3.2,6.66674e-05,-0.4,0,0.201219,0.0021835,0.196,0.2064,9.82944e-05,0,1,0,1,13,6,0.0166667,3,0.356667,1,107,14.4097,0.0408995,-0.0216016,19.6877,-0.995524,RUN_00101,ATM_010,1799573057,1799573356,POWER_FAILURE,ABNORMAL,POWER_OUTAGE,1,False,1704,POWER_OUTAGE,
0,27.798,0.0611828,27.65,27.9,-0.0393135,-0.2,0,51.4116,0.161394,51.09,51.8,0.103475,0.42,0,1006.78,0.029062,1006.66,1006.86,-0.00691248,0.01,0,153.669,1.3678,150,157.1,0.00360271,-4.1,0,227.645,0.563801,226.2,229,0.119764,1,0,1.41656,0.00595503,1.3952,1.432,0.000170007,-0.0048,0,0,0,0,0,0,0,0,0,0,12.0746,0.0189264,-0.00341689,16.8649,-0.902806,RUN_00170,ATM_005,1805471840,1805472139,SENSOR_FAULT,ABNORMAL,SENSOR_BIAS,1,False,36.7679,SENSOR_BIAS,
0,29.1474,0.0991392,28.97,29.34,-0.0667271,-0.3,0,52.8767,0.406164,52.21,53.59,0.27864,1.27,0,1007.57,0.0382881,1007.49,1007.7,-0.0112872,-0.13,0,294.29,2.00455,289.9,301.6,0.960804,2.8,0,228.348,0.792399,226.3,230.8,0.147716,0.7,0,1.41927,0.0306538,1.2576,1.5872,-0.00063798,-0.0016,0,0,0,1,1,0.00333333,1,0,0,0,13.4498,0.0348305,0.0195222,18.555,-0.970897,RUN_00183,ATM_042,1806614889,1806615188,SENSOR_FAULT,ABNORMAL,SENSOR_SPIKE,1,False,2.9382,SENSOR_SPIKE,
0,29.6493,0.0321845,29.57,29.75,-0.00824316,0.02,0,64.983,1.04896,63.37,66.86,0.722409,3.38,0,1007.67,0.0637762,1007.52,1007.83,0.023546,0.09,0,177.862,9.10914,158.1,187.1,-4.44592,-22,0,229.198,1.81378,224.4,232.4,-0.940418,-4.8,0,1.41876,0.00648481,1.3968,1.4368,-0.000321166,0.0104,0,0,0,9,2,0.0233333,1,0.213333,1,64,17.1119,0.272043,0.186781,22.3647,-0.398917,RUN_00058,ATM_023,1795850647,1795850946,HIGH_HUMIDITY,ABNORMAL,HIGH_HUMIDITY,1,False,0.6286,HIGH_HUMIDITY,
